MOLECULE,SMILES
pona,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C5C=CC=NN45)=C3)C
pf114,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=NN=C5C=CC=CN45)=C3)C
7a,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC=4C=NC=CC4)=C3)C
7b,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC=4C=NC=NC4)=C3)C
7c,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C(C=C4)NC(=O)C)=C3)C
7d,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C(C=C4)NC(=O)CC)=C3)C
7e,O=C(N)C1=NC=C(C#CC2=CC(=CC=C2C)C(=O)NC3=CC=C(C(=C3)C(F)(F)F)CN4CCN(C)CC4)C=C1
7f,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C(N=C4)NC5CC5)=C3)C
8a,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=CN4)=C3)C
8b,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=CN4C)=C3)C
8c,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C(N4C)C)=C3)C
8d,O=C(N)C1=NC=C(C#CC2=CC(=CC=C2C)C(=O)NC3=CC=C(C(=C3)C(F)(F)F)CN4CCN(C)CC4)N1C
8e,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C(C(=O)NC)N4C)=C3)C
8f,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C(C(=O)NCCO)N4C)=C3)C
8g,O=C(N)C1=NC=C(C#CC2=CC(=CC=C2C)C(=O)NC3=CC=C(C(=C3)C(F)(F)F)CN4CCN(CCO)CC4)N1C
8h,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(CCO)CC2)C3=CC=C(C(C#CC4=CN=C(C(=O)NC)N4C)=C3)C
8i,O=C(N)C1=NC=C(C#CC2=CC(=CC=C2C)C(=O)NC3=CC=C(C(=C3)C(F)(F)F)CN4CCN(CCOC)CC4)N1C
8j,O=C(N)C1=NC=C(C#CC2=CC(=CC=C2C)C(=O)NC3=CC=C(C(=C3)C(F)(F)F)CN4CCN(CC(=O)O)CC4)N1C
8k,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC=4SC(=NC4)N)=C3)C
8l,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC=4SC(=NC4)NC(=O)C)=C3)C
2a,C(#CC1=CN=C2C=CC=NN12)C=3C=C(C=CC3C)C4=NC5=CC=C(C=C5N4)CN6CCN(C)CC6
2b,C(#CC=1C=C(C=CC1C)C2=NC3=CC(=CC=C3N2)CN4CCN(C)CC4)C5=NN=C(C=C5)NC6CCC6
2c,C(#CC=1C=C(C=CC1C)C2=NC3=CC=C(C=C3N2)CN4CCN(C)CC4)C5=NN=C(C=C5)NC6CC6
2d,C(#CC=1C=C(C=CC1C)C2=NC3=CC=C(C=C3N2)CN4CCN(C)CC4)C5=NN=C(C=C5)NC(C)C
2e,C(#CC=1C=C(C=CC1C)C2=NC3=CC=C(C=C3N2)CN4CCN(C)CC4)C5=CN=C(N=C5)NC6CC6
2f,C(#CC1=CN=C2C=CC=NN12)C=3C=C(C=CC3C)C4=NC5=CC=C(C=C5N4)N6C=NC(=C6)C
2g,ClC=1C=CC(=CC1C#CC2=CN=C3C=CC=NN23)C4=NC5=CC=C(C=C5N4)CN6CCN(C)CC6
2h,ClC=1C=CC(=CC1C#CC2=NN=C(C=C2)NC3CCC3)C4=NC5=CC(=CC=C5N4)CN6CCN(C)CC6
2i,ClC=1C=CC(=CC1C#CC2=NN=C(C=C2)NC3CC3)C4=NC5=CC=C(C=C5N4)CN6CCN(C)CC6
2j,ClC=1C=CC(=CC1C#CC2=NN=C(C=C2)NC(C)C)C3=NC4=CC=C(C=C4N3)CN5CCN(C)CC5
2k,ClC=1C=CC(=CC1C#CC2=CN=C(N=C2)NC3CC3)C4=NC5=CC=C(C=C5N4)CN6CCN(C)CC6